domain,url,start,end
geeksforgeeks.org,https://www.geeksforgeeks.org/html/html-dom-input-time-min-property/,1777692346.433114529,1777692355.536837101
yahoo.com,https://www.yahoo.com/entertainment/leap-media-adds-travel-detective-114608130.html,1777692360.537097454,1777692366.731348991
github.com,https://github.com/marwin1991,1777692371.731518984,1777692383.119946480
geeksforgeeks.org,https://www.geeksforgeeks.org/machine-learning/building-a-generative-adversarial-network-using-keras/,1777692388.120159626,1777692395.106566191
google.com,https://www.google.com/intl/sk/get/videoqualityreport/m/methodology.html,1777692400.106750965,1777692405.672266960
google.com,https://www.google.com/intl/zh-CN_cn/admob/app-insights.html,1777692410.672472715,1777692418.738762856
geeksforgeeks.org,https://www.geeksforgeeks.org/maths/integral-of-cos-x/,1777692423.738979578,1777692430.475657940
github.com,https://github.com/settings/education/benefits,1777692435.475839853,1777692441.892998219
yahoo.com,https://www.yahoo.com/news/letter-carriers-protest-potential-privatization-040821090.html,1777692446.893195152,1777692571.986555099
geeksforgeeks.org,https://www.geeksforgeeks.org/dsa/program-to-check-if-n-is-an-icosikaioctagonal-number/,1777692576.986815214,1777692646.754561424
yahoo.com,https://www.yahoo.com/news/elon-musks-x-sues-overturn-194354050.html,1777692651.754757643,1777692776.855563879
geeksforgeeks.org,https://www.geeksforgeeks.org/node-js/how-to-fix-referenceerror-dirname-is-not-defined-in-es-module-scope-in-javascript/,1777692781.855722904,1777692795.279552460
geeksforgeeks.org,https://www.geeksforgeeks.org/java/localdatetime-plushours-method-in-java-with-examples/,1777692800.279721737,1777692808.009961367
geeksforgeeks.org,https://www.geeksforgeeks.org/ethical-hacking/packet-list-pane-functions-in-wireshark/,1777692813.010129213,1777692821.476989746
yahoo.com,https://www.yahoo.com/entertainment/emmy-awards-winners-2024-complete-020458228.html,1777692826.477186441,1777692931.497550011
github.com,https://github.com/sauravhathi,1777692936.497714758,1777692944.768458605
yahoo.com,https://www.yahoo.com/news/weather/india/gujarat/vallabh-vidhyanagar-2288051,1777692949.768658638,1777692972.895177126
geeksforgeeks.org,https://www.geeksforgeeks.org/dsa/dynamic-programming-meaning-in-dsa/,1777692977.895367622,1777692986.756398916
github.com,https://github.com/shimauma0312,1777692991.756581545,1777693002.911427259
yahoo.com,https://www.yahoo.com/lifestyle/articles/protecting-compass-one-thing-could-114500962.html,1777693007.911591768,1777693022.327226639
github.com,https://github.com/MartiSuvik,1777693027.327365637,1777693034.869502544
yahoo.com,https://www.yahoo.com/tech/chatgpt-store-lets-create-anything-200955715.html,1777693039.869679689,1777693164.938793659
github.com,https://github.com/Mikolasch,1777693169.938964367,1777693244.737211466
github.com,https://github.com/InfoYaseer,1777693249.737389326,1777693258.466716528
geeksforgeeks.org,https://www.geeksforgeeks.org/c-sharp/c-sharp-program-for-listing-the-files-in-a-directory/,1777693263.466888189,1777693275.626178980
geeksforgeeks.org,https://www.geeksforgeeks.org/videos/html-collection-for-loop/,1777693280.626442671,1777693291.277765274
yahoo.com,https://www.yahoo.com/news/man-seemingly-boarded-delta-flight-110518720.html,1777693296.277973413,1777693308.041347027
